_year,raw_dry_well_count,post_reporting_system,detrended_index,reporting_bias_flag,uncertainty_flag
1986,1,0,0.126405891208164,False,True
2014,9,1,-0.37170276056903284,True,False
2015,56,1,0.09074748838178269,True,False
2016,23,1,-0.26923135272244875,True,False
2017,6,1,-0.4647243758156708,True,False
2018,5,1,-0.4957315808978834,True,False
2019,7,1,-0.49589769510303644,True,False
2020,13,1,-0.4549423548054325,True,False
2021,145,1,0.8813388023288704,True,False
2022,371,1,3.1839741402778534,True,False
2023,55,1,-0.0853476068961065,True,False
2024,19,1,-0.47616753887740215,True,False
2025,20,1,-0.4866140167082386,True,False
2026,3,1,-0.6821070398014607,True,True
2008,1,0,0.0447501682085913,False,True
2009,1,0,-0.028877530304509003,False,True
2013,1,0,-0.32338832435694986,False,True
2014,2,1,-0.22268377294862005,True,True
2015,2,1,-0.2963114714617203,True,True
2016,10,1,1.0247188293966005,True,False
2017,3,1,-0.26923461856651065,True,True
2019,2,1,-0.5908222655141612,True,True
2020,3,1,-0.4901177141058314,True,True
2021,5,1,-0.21508091277609123,True,False
2022,24,1,3.0236041372179807,True,False
2023,8,1,0.16066043996199852,True,False
2024,4,1,-0.6102962582368421,True,True
2025,1,1,-1.2069207065142327,True,True
2013,1,0,-1.1821361229344214,False,True
2014,54,1,2.189952603043606,True,False
2015,20,1,0.14241266160422214,True,False
2016,7,1,-0.5969410497688618,True,False
2018,3,1,-0.7051676600647062,True,True
2019,3,1,-0.6346918004444122,True,True
2020,2,1,-0.6265105232082262,True,True
2021,16,1,0.3160894897895823,True,False
2022,37,1,1.694751579476148,True,False
2023,8,1,-0.04131545004266662,True,False
2024,2,1,-0.34460708472702156,True,True
2025,3,1,-0.21183664272261932,True,True
2000,2,0,0.1066158531124766,False,True
2005,8,0,-0.05066547780982307,False,False
2012,1,0,-0.5522884771883976,False,True
2013,5,0,-0.5325758095388036,False,False
2014,55,1,0.3277693425275719,True,False
2015,102,1,1.1332906369145932,True,False
2016,17,1,-0.4734378065899882,True,False
2017,10,1,-0.6547459504313431,True,False
2018,19,1,-0.543660186649492,True,False
2019,19,1,-0.597045995905687,True,False
2020,30,1,-0.449410993670933,True,False
2021,146,1,1.6170590273412355,True,False
2022,211,1,2.751523467804365,True,False
2023,71,1,0.13969096684497317,True,False
2024,60,1,-0.11471565390218728,True,False
2025,21,1,-0.8808116129900039,True,False
2026,5,1,-1.2265913298694213,True,False
2011,1,0,-0.5445231654323011,False,True
2014,12,1,-0.14860130770309693,True,False
2015,32,1,0.7402353126608427,True,False
2016,12,1,-0.22446929421000525,True,False
2019,1,1,-0.8479951114599343,True,True
2021,47,1,1.2077093133531631,True,False
2022,66,1,2.050207403036233,True,False
2023,10,1,-0.5826843083459238,True,False
2024,5,1,-0.8523109550037263,True,False
2025,7,1,-0.7975678868954411,True,False
2014,7,1,-0.4478298004923975,True,False
2015,21,1,0.15081751990778078,True,False
2021,22,1,0.008585124285935237,True,False
2022,64,1,1.8669343351034586,True,False
2023,9,1,-0.63868371731056,True,False
2024,3,1,-0.939823461494217,True,True
2000,2,0,-0.24513812341451596,False,True
2005,6,0,-0.1303420677743782,False,False
2013,1,0,-0.679419394461968,False,True
2014,21,1,0.5776467904964767,True,False
2015,37,1,1.577607355906918,True,False
2016,3,1,-0.6362523230326856,True,True
2020,1,1,-0.8786527839329801,True,True
2021,15,1,-0.007245028296540764,True,False
2022,47,1,2.021138015305915,True,False
2023,7,1,-0.5783800929556943,True,False
2025,1,1,-1.0209623478408458,True,True
2007,1,0,0.0885447133850692,False,True
2009,1,0,-0.009914979173858406,False,True
2013,1,0,-0.2068343642917136,False,True
2014,10,1,-0.11809633999189485,True,False
2015,23,1,0.03196073789869912,True,False
2016,6,1,-0.2778750861416116,True,False
2017,5,1,-0.34243469581877967,True,False
2018,6,1,-0.3763347787005392,True,False
2019,2,1,-0.4868836785707991,True,True
2020,8,1,-0.4441349444640722,True,False
2021,139,1,1.5148342143548017,True,False
2022,251,1,3.182537868617441,True,False
2023,18,1,-0.43852684932549774,True,False
2024,16,1,-0.5184162224003491,True,False
2025,3,1,-0.7669329928498846,True,True
2026,2,1,-0.8314926025270387,True,True
