entity_type,entity_id,year,fallow_acres,source,fallow_pct
county,6019,2012,201170.0,cdl_county,
county,6029,2012,369830.5,cdl_county,
county,6031,2012,198078.5,cdl_county,
county,6039,2012,18500.8,cdl_county,
county,6047,2012,29687.7,cdl_county,
county,6077,2012,24259.5,cdl_county,
county,6099,2012,4671.0,cdl_county,
county,6107,2012,116690.5,cdl_county,
county,6019,2014,245797.5,cdl_county,
county,6029,2014,261393.8,cdl_county,
county,6031,2014,214689.3,cdl_county,
county,6039,2014,17996.8,cdl_county,
county,6047,2014,52666.6,cdl_county,
county,6077,2014,17391.9,cdl_county,
county,6099,2014,6854.2,cdl_county,
county,6107,2014,88017.6,cdl_county,
county,6019,2018,273249.6,cdl_county,
county,6029,2018,351070.6,cdl_county,
county,6031,2018,229935.4,cdl_county,
county,6039,2018,26781.0,cdl_county,
county,6047,2018,63415.2,cdl_county,
county,6077,2018,28382.9,cdl_county,
county,6099,2018,15424.6,cdl_county,
county,6107,2018,110971.4,cdl_county,
county,6019,2022,227136.5,cdl_county,
county,6029,2022,108070.5,cdl_county,
county,6031,2022,159507.7,cdl_county,
county,6039,2022,7604.3,cdl_county,
county,6047,2022,24015.1,cdl_county,
county,6077,2022,14205.7,cdl_county,
county,6099,2022,3611.9,cdl_county,
county,6107,2022,33209.5,cdl_county,
gsp,7,2014,561.15,gsp_land_use_survey,2.13
gsp,8,2014,224483.75,gsp_land_use_survey,38.47
gsp,9,2014,17923.93,gsp_land_use_survey,4.7
gsp,13,2014,33826.93,gsp_land_use_survey,15.76
gsp,14,2014,896.65,gsp_land_use_survey,38.26
gsp,15,2014,27662.06,gsp_land_use_survey,6.97
gsp,20,2014,1041.35,gsp_land_use_survey,5.14
gsp,21,2014,6749.31,gsp_land_use_survey,2.35
gsp,22,2014,6502.1,gsp_land_use_survey,4.94
gsp,23,2014,9965.45,gsp_land_use_survey,6.9
gsp,24,2014,11936.87,gsp_land_use_survey,5.25
gsp,25,2014,9991.13,gsp_land_use_survey,6.68
