source_id,target_id,shared_boundary_m
5-022.11,5-022.08,38150.19480263119
5-022.11,5-022.12,62027.985202763084
5-022.11,5-022.13,10077.618083311236
5-022.09,5-022.08,84184.08217870462
5-022.09,5-022.07,86405.15260473483
5-022.09,5-022.10,14125.481859078756
5-022.09,5-022.12,40822.91650911272
5-022.08,5-022.06,63890.39925001791
5-022.08,5-022.07,53102.2501112997
5-022.08,5-022.12,71618.48064366508
5-022.05,5-022.06,68964.92570499578
5-022.05,5-022.04,61920.10747782956
5-022.05,5-022.07,21782.66459259766
5-022.06,5-022.04,2285.9794372745528
5-022.06,5-022.07,49263.12442095086
5-022.04,5-022.03,88633.17932188974
5-022.04,5-022.07,90823.60585869978
5-022.02,5-022.03,85622.93617594437
5-022.02,5-022.07,14423.70847776655
5-022.02,5-022.01,89750.10352963288
5-022.03,5-022.07,56549.99271453607
5-022.07,5-022.15,57691.57582766995
5-022.15,5-022.01,82490.60148165036
5-022.10,5-022.17,4727.0609420623405
5-022.18,5-022.14,26572.610761967157
5-022.17,5-022.12,1272.8983148208029
5-022.01,5-022.16,64751.27430861427
5-022.14,5-022.12,34409.88400920685
5-022.14,5-022.13,62808.51247295271
5-022.12,5-022.13,6172.087128364876
