gsp_id,year,mean_subsidence_ft,n_points
106,2016,0.091,15
106,2017,-0.0124,13
106,2018,0.105,6
106,2019,-0.1192,6
106,2020,0.1107,11
106,2021,0.0267,14
106,2022,-0.0722,5
106,2023,0.3115,16
106,2024,0.2659,24
110,2016,0.1162,35056
110,2017,-0.0773,33735
110,2018,0.0981,25846
110,2019,-0.0681,23352
110,2020,0.0513,32811
110,2021,0.1493,32323
110,2022,0.0403,28590
110,2023,0.0866,44110
110,2024,0.0956,57943
111,2020,0.6015,3
111,2023,0.5709,1
111,2024,0.8093,3
117,2016,0.2837,26
117,2017,0.1222,25
117,2018,0.2475,16
117,2019,0.0215,16
117,2020,0.2508,23
117,2021,0.1739,18
117,2022,-0.6762,10
117,2023,-0.0175,23
117,2024,0.1476,27
120,2016,0.29,40
120,2017,-0.0094,36
120,2018,0.2213,20
120,2019,0.1287,14
120,2020,0.1884,30
120,2021,0.1089,20
120,2022,-0.1896,10
120,2023,-0.1206,49
120,2024,0.2119,66
122,2016,0.1242,22618
122,2017,-0.129,21893
122,2018,0.1379,18183
122,2019,0.0445,17356
122,2020,0.1469,26059
122,2021,0.0394,24356
122,2022,-0.1234,20756
122,2023,0.056,26988
122,2024,0.1363,35458
123,2016,0.1166,25875
123,2017,0.0096,25437
123,2018,0.0722,21037
123,2019,-0.0071,20883
123,2020,-0.2241,27800
123,2021,-0.1457,26642
123,2022,0.0122,25341
123,2023,0.3332,20341
123,2024,0.1024,22339
13,2016,0.0832,45280
13,2017,-0.097,43809
13,2018,0.1024,38047
13,2019,-0.1941,36305
13,2020,0.1116,50358
13,2021,0.0829,48611
13,2022,-0.0927,42060
13,2023,0.1732,46616
13,2024,0.1463,58746
14,2016,0.8009,381
14,2017,0.9028,364
14,2018,0.7966,326
14,2019,1.1708,258
14,2020,1.8325,449
14,2021,1.8601,457
14,2022,-1.4812,325
14,2023,0.1808,325
14,2024,0.6358,421
145,2016,0.3642,10372
145,2017,0.1903,9987
145,2018,0.5072,8344
145,2019,0.1458,8042
145,2020,0.1257,12391
145,2021,0.1104,10857
145,2022,0.2215,8982
145,2023,0.2709,8765
145,2024,0.5302,10830
15,2016,0.6346,16374
15,2017,0.4463,15493
15,2018,0.5408,11206
15,2019,0.5728,9783
15,2020,1.1117,16819
15,2021,1.3032,16548
15,2022,-0.3606,13875
15,2023,0.4882,23137
15,2024,0.7405,33323
160,2016,2.9525,9686
160,2017,2.2761,9072
160,2018,2.1276,6479
160,2019,2.2143,5106
160,2020,3.0553,9081
160,2021,3.19,9770
160,2022,-0.6315,7898
160,2023,1.3187,14543
160,2024,1.7159,20933
164,2016,2.6247,14916
164,2017,3.1722,14502
164,2018,2.2703,11685
164,2019,2.702,11367
164,2020,3.8985,15668
164,2021,4.2742,14711
164,2022,1.4157,13998
164,2023,1.7907,16799
164,2024,2.3803,19221
165,2016,1.5812,17041
165,2017,2.6452,16026
165,2018,1.4246,10666
165,2019,2.147,9589
165,2020,2.9896,18586
165,2021,3.1094,16121
165,2022,-1.0523,14028
165,2023,0.7872,22843
165,2024,1.2896,29691
166,2016,0.1918,13946
166,2017,0.0777,13162
166,2018,0.2656,8496
166,2019,-0.0756,7302
166,2020,0.0115,14953
166,2021,0.1656,12250
