cdl_year,county_fips5,cdl_value,category,pixel_count,acreage
2022,06019,1,Corn,52043,11574.1
2022,06019,2,Cotton,185520,41258.7
2022,06019,3,Rice,4637,1031.2
2022,06019,4,Sorghum,7437,1653.9
2022,06019,6,Sunflowers,284,63.2
2022,06019,12,Sweet Corn,19,4.2
2022,06019,21,Barley,40767,9066.4
2022,06019,22,Durum Wheat,4688,1042.6
2022,06019,23,Spring Wheat,679,151.0
2022,06019,24,Winter Wheat,404581,89976.6
2022,06019,27,Rye,1155,256.9
2022,06019,28,Oats,15238,3388.8
2022,06019,33,Safflower,2975,661.6
2022,06019,35,Mustard,149,33.1
2022,06019,36,Alfalfa,183434,40794.7
2022,06019,37,Other Hay/Non Alfalfa,13356,2970.3
2022,06019,42,Dry Beans,969,215.5
2022,06019,43,Potatoes,133,29.6
2022,06019,44,Other Crops,165,36.7
2022,06019,46,Sweet Potatoes,52,11.6
2022,06019,47,Misc Vegs & Fruits,114,25.4
2022,06019,48,Watermelons,61,13.6
2022,06019,49,Onions,28438,6324.5
2022,06019,51,Chick Peas,7637,1698.4
2022,06019,53,Peas,5,1.1
2022,06019,54,Tomatoes,253526,56382.8
2022,06019,57,Herbs,1483,329.8
2022,06019,58,Clover/Wildflowers,173,38.5
2022,06019,59,Sod/Grass Seed,7,1.6
2022,06019,61,Fallow/Idle Cropland,1021322,227136.5
2022,06019,66,Cherries,28152,6260.9
2022,06019,67,Peaches,80054,17803.6
2022,06019,68,Apples,7610,1692.4
2022,06019,69,Grapes,797473,177353.7
2022,06019,71,Other Tree Crops,19249,4280.9
2022,06019,72,Citrus,204817,45550.2
2022,06019,74,Pecans,171,38.0
2022,06019,75,Almonds,1459211,324520.7
2022,06019,76,Walnuts,61261,13624.1
2022,06019,77,Pears,590,131.2
2022,06019,92,Aquaculture,2,0.4
2022,06019,111,Open Water,165530,36813.0
2022,06019,112,Perennial Ice/Snow,15826,3519.6
2022,06019,121,Developed/Open Space,307212,68322.3
2022,06019,122,Developed/Low Intensity,265307,59002.9
2022,06019,123,Developed/Medium Intensity,328027,72951.4
2022,06019,124,Developed/High Intensity,114026,25358.8
2022,06019,131,Barren,707821,157415.6
2022,06019,141,Deciduous Forest,2411,536.2
2022,06019,142,Evergreen Forest,3362081,747708.8
2022,06019,143,Mixed Forest,93298,20749.0
2022,06019,152,Shrubland,3323310,739086.4
2022,06019,176,Grass/Pasture,2717014,604249.4
2022,06019,190,Woody Wetlands,7954,1768.9
2022,06019,195,Herbaceous Wetlands,53051,11798.3
2022,06019,204,Pistachios,704446,156665.0
2022,06019,205,Triticale,24436,5434.4
2022,06019,206,Carrots,2191,487.3
2022,06019,208,Garlic,54237,12062.0
2022,06019,209,Cantaloupes,7407,1647.3
2022,06019,210,Prunes,962,213.9
2022,06019,211,Olives,9311,2070.7
2022,06019,212,Oranges,6137,1364.8
2022,06019,213,Honeydew Melons,2170,482.6
2022,06019,214,Broccoli,200,44.5
2022,06019,215,Avocados,13,2.9
2022,06019,216,Peppers,641,142.6
2022,06019,217,Pomegranates,29478,6555.7
2022,06019,218,Nectarines,2691,598.5
2022,06019,219,Greens,5,1.1
2022,06019,220,Plums,41616,9255.2
2022,06019,221,Strawberries,109,24.2
2022,06019,225,Dbl Crop WinWht/Corn,43978,9780.5
2022,06019,226,Dbl Crop Oats/Corn,1525,339.2
2022,06019,227,Lettuce,4921,1094.4
2022,06019,228,Dbl Crop Triticale/Corn,22954,5104.8
2022,06019,229,Pumpkins,21,4.7
2022,06019,236,Dbl Crop WinWht/Sorghum,2874,639.2
2022,06019,237,Dbl Crop Barley/Corn,2289,509.1
2022,06019,238,Dbl Crop WinWht/Cotton,478,106.3
2022,06019,242,Blueberries,935,207.9
2022,06029,1,Corn,66057,14690.7
2022,06029,2,Cotton,55931,12438.8
2022,06029,3,Rice,157,34.9
2022,06029,4,Sorghum,2584,574.7
2022,06029,6,Sunflowers,20,4.4
2022,06029,12,Sweet Corn,54,12.0
2022,06029,21,Barley,54980,12227.3
2022,06029,22,Durum Wheat,1808,402.1
2022,06029,23,Spring Wheat,6172,1372.6
2022,06029,24,Winter Wheat,131388,29220.0
2022,06029,27,Rye,785,174.6
2022,06029,28,Oats,46882,10426.3
2022,06029,33,Safflower,82222,18285.7
2022,06029,35,Mustard,15,3.3
2022,06029,36,Alfalfa,238195,52973.3
2022,06029,37,Other Hay/Non Alfalfa,31982,7112.6
2022,06029,41,Sugarbeets,2,0.4
2022,06029,42,Dry Beans,197,43.8
2022,06029,43,Potatoes,36435,8102.9
2022,06029,44,Other Crops,1020,226.8
2022,06029,46,Sweet Potatoes,2080,462.6
2022,06029,47,Misc Vegs & Fruits,99,22.0
2022,06029,48,Watermelons,479,106.5
2022,06029,49,Onions,13586,3021.5
2022,06029,51,Chick Peas,139,30.9
2022,06029,53,Peas,2,0.4
2022,06029,54,Tomatoes,50066,11134.4
2022,06029,57,Herbs,168,37.4
2022,06029,58,Clover/Wildflowers,349,77.6
2022,06029,59,Sod/Grass Seed,2,0.4
2022,06029,61,Fallow/Idle Cropland,485940,108070.5
2022,06029,66,Cherries,43273,9623.7
2022,06029,67,Peaches,3153,701.2
2022,06029,68,Apples,2936,653.0
2022,06029,69,Grapes,497873,110724.3
2022,06029,71,Other Tree Crops,4882,1085.7
2022,06029,72,Citrus,286646,63748.5
2022,06029,74,Pecans,1,0.2
2022,06029,75,Almonds,1209168,268912.5
2022,06029,76,Walnuts,9578,2130.1
2022,06029,77,Pears,153,34.0
2022,06029,111,Open Water,81270,18074.0
2022,06029,121,Developed/Open Space,906905,201690.8
2022,06029,122,Developed/Low Intensity,293670,65310.6
2022,06029,123,Developed/Medium Intensity,320170,71204.1
2022,06029,124,Developed/High Intensity,91108,20261.9
2022,06029,131,Barren,507046,112764.3
2022,06029,141,Deciduous Forest,39054,8685.4
2022,06029,142,Evergreen Forest,1018964,226612.1
2022,06029,143,Mixed Forest,18381,4087.8
2022,06029,152,Shrubland,10082347,2242260.0
2022,06029,176,Grass/Pasture,5445533,1211057.4
2022,06029,190,Woody Wetlands,9294,2066.9
2022,06029,195,Herbaceous Wetlands,53254,11843.4
2022,06029,204,Pistachios,887126,197292.1
2022,06029,205,Triticale,80216,17839.6
2022,06029,206,Carrots,16439,3655.9
2022,06029,208,Garlic,20676,4598.2
2022,06029,209,Cantaloupes,258,57.4
2022,06029,210,Prunes,267,59.4
2022,06029,211,Olives,18515,4117.6
2022,06029,212,Oranges,16262,3616.6
2022,06029,213,Honeydew Melons,19,4.2
2022,06029,214,Broccoli,329,73.2
2022,06029,215,Avocados,300,66.7
2022,06029,216,Peppers,4667,1037.9
2022,06029,217,Pomegranates,50775,11292.1
2022,06029,218,Nectarines,2554,568.0
2022,06029,219,Greens,111,24.7
2022,06029,220,Plums,3284,730.3
2022,06029,221,Strawberries,24,5.3
2022,06029,225,Dbl Crop WinWht/Corn,50488,11228.3
2022,06029,226,Dbl Crop Oats/Corn,129,28.7
2022,06029,227,Lettuce,345,76.7
2022,06029,228,Dbl Crop Triticale/Corn,93917,20886.6
2022,06029,236,Dbl Crop WinWht/Sorghum,4688,1042.6
2022,06029,237,Dbl Crop Barley/Corn,196,43.6
2022,06029,238,Dbl Crop WinWht/Cotton,272,60.5
2022,06029,242,Blueberries,363,80.7
2022,06031,1,Corn,49537,11016.8
2022,06031,2,Cotton,231747,51539.3
2022,06031,3,Rice,10,2.2
2022,06031,4,Sorghum,7114,1582.1
2022,06031,6,Sunflowers,40,8.9
2022,06031,12,Sweet Corn,23,5.1
2022,06031,21,Barley,19286,4289.1
2022,06031,22,Durum Wheat,4436,986.5
2022,06031,23,Spring Wheat,53,11.8
2022,06031,24,Winter Wheat,413772,92020.7
2022,06031,27,Rye,2230,495.9
2022,06031,28,Oats,10797,2401.2
2022,06031,33,Safflower,150718,33518.9
2022,06031,35,Mustard,10,2.2
2022,06031,36,Alfalfa,119881,26660.9
2022,06031,37,Other Hay/Non Alfalfa,11896,2645.6
2022,06031,41,Sugarbeets,1,0.2
2022,06031,42,Dry Beans,54,12.0
2022,06031,43,Potatoes,126,28.0
2022,06031,44,Other Crops,321,71.4
2022,06031,46,Sweet Potatoes,4,0.9
2022,06031,47,Misc Vegs & Fruits,11,2.4
2022,06031,49,Onions,6568,1460.7
2022,06031,51,Chick Peas,1039,231.1
2022,06031,53,Peas,10,2.2
2022,06031,54,Tomatoes,132366,29437.5
2022,06031,57,Herbs,17,3.8
2022,06031,58,Clover/Wildflowers,141,31.4
2022,06031,61,Fallow/Idle Cropland,717228,159507.7
2022,06031,66,Cherries,11385,2532.0
2022,06031,67,Peaches,11893,2644.9
2022,06031,68,Apples,215,47.8
2022,06031,69,Grapes,35424,7878.1
2022,06031,71,Other Tree Crops,3239,720.3
2022,06031,72,Citrus,2570,571.6
2022,06031,74,Pecans,32,7.1
2022,06031,75,Almonds,237159,52742.9
2022,06031,76,Walnuts,87605,19482.9
2022,06031,111,Open Water,68935,15330.8
2022,06031,121,Developed/Open Space,86035,19133.7
2022,06031,122,Developed/Low Intensity,64877,14428.3
2022,06031,123,Developed/Medium Intensity,79130,17598.1
2022,06031,124,Developed/High Intensity,25132,5589.2
2022,06031,131,Barren,11187,2487.9
2022,06031,141,Deciduous Forest,19,4.2
2022,06031,142,Evergreen Forest,622,138.3
2022,06031,143,Mixed Forest,1742,387.4
2022,06031,152,Shrubland,56592,12585.8
2022,06031,176,Grass/Pasture,733940,163224.3
2022,06031,190,Woody Wetlands,336,74.7
2022,06031,195,Herbaceous Wetlands,12705,2825.5
2022,06031,204,Pistachios,372784,82905.2
2022,06031,205,Triticale,55636,12373.1
2022,06031,206,Carrots,2723,605.6
2022,06031,208,Garlic,13496,3001.4
2022,06031,209,Cantaloupes,1438,319.8
2022,06031,210,Prunes,158,35.1
2022,06031,211,Olives,244,54.3
2022,06031,212,Oranges,324,72.1
2022,06031,213,Honeydew Melons,1076,239.3
2022,06031,214,Broccoli,68,15.1
2022,06031,216,Peppers,939,208.8
2022,06031,217,Pomegranates,20476,4553.8
2022,06031,218,Nectarines,1033,229.7
2022,06031,219,Greens,40,8.9
2022,06031,220,Plums,9723,2162.3
2022,06031,221,Strawberries,1,0.2
2022,06031,225,Dbl Crop WinWht/Corn,75667,16827.9
2022,06031,226,Dbl Crop Oats/Corn,649,144.3
2022,06031,227,Lettuce,235,52.3
2022,06031,228,Dbl Crop Triticale/Corn,23611,5251.0
2022,06031,236,Dbl Crop WinWht/Sorghum,12912,2871.6
2022,06031,237,Dbl Crop Barley/Corn,512,113.9
2022,06031,238,Dbl Crop WinWht/Cotton,133,29.6
2022,06031,242,Blueberries,117,26.0
2022,06039,1,Corn,16268,3617.9
2022,06039,2,Cotton,4750,1056.4
2022,06039,3,Rice,1039,231.1
2022,06039,4,Sorghum,140,31.1
2022,06039,6,Sunflowers,11,2.4
2022,06039,12,Sweet Corn,2,0.4
2022,06039,21,Barley,2657,590.9
2022,06039,22,Durum Wheat,314,69.8
2022,06039,23,Spring Wheat,1087,241.7
2022,06039,24,Winter Wheat,72131,16041.5
2022,06039,27,Rye,152,33.8
2022,06039,28,Oats,7563,1682.0
2022,06039,33,Safflower,421,93.6
2022,06039,35,Mustard,23,5.1
2022,06039,36,Alfalfa,50121,11146.6
2022,06039,37,Other Hay/Non Alfalfa,3077,684.3
2022,06039,42,Dry Beans,126,28.0
2022,06039,43,Potatoes,18,4.0
2022,06039,44,Other Crops,121,26.9
2022,06039,46,Sweet Potatoes,137,30.5
2022,06039,47,Misc Vegs & Fruits,1,0.2
2022,06039,49,Onions,219,48.7
2022,06039,51,Chick Peas,11,2.4
2022,06039,54,Tomatoes,9935,2209.5
