GSP_ID,GSP_Name,Basin_ID,Basin_Name,Total_Ag_Acres,Fallow_Acres,N_Fields,N_Fallow_Fields,Fallow_Pct,Water_Year
7,,5-022,,26391.21,561.15,538,13,2.13,2014
8,,5-022,,583560.65,224483.75,5760,1748,38.47,2014
9,,5-022,,381652.26,17923.93,8234,943,4.7,2014
13,,5-022,,214598.67,33826.93,4145,571,15.76,2014
14,,5-022,,2343.67,896.65,51,12,38.26,2014
15,,5-022,,397150.01,27662.06,6165,698,6.97,2014
20,,5-022,,20249.49,1041.35,78,10,5.14,2014
21,,5-022,,286717.95,6749.31,5057,219,2.35,2014
22,,5-022,,131632.88,6502.1,9490,775,4.94,2014
23,,5-022,,144373.08,9965.45,12352,1144,6.9,2014
24,,5-022,,227411.3,11936.87,8026,1183,5.25,2014
25,,5-022,,149504.96,9991.13,3892,404,6.68,2014
26,,5-022,,9439.54,468.21,188,47,4.96,2014
28,,5-022,,115132.49,2372.25,2099,99,2.06,2014
31,,5-022,,38190.26,983.15,426,14,2.57,2014
38,,5-022,,160253.36,1597.54,205,46,1.0,2014
42,,5-022,,382612.48,91414.25,5641,858,23.89,2014
43,,5-022,,118142.74,19801.48,4748,416,16.76,2014
45,,5-022,,8629.94,500.04,204,8,5.79,2014
47,,5-022,,205584.21,7691.27,7123,473,3.74,2014
48,,5-022,,8635.99,3196.14,166,46,37.01,2014
49,,5-022,,4059.84,0.0,57,0,0.0,2014
56,,5-022,,90312.01,809.09,1610,28,0.9,2014
57,,5-022,,38637.77,10514.73,408,68,27.21,2014
61,,5-022,,8723.39,9.0,173,1,0.1,2014
63,,5-022,,63378.46,2701.53,2118,120,4.26,2014
65,,5-022,,61420.05,1390.26,965,39,2.26,2014
67,,5-029,,360.95,185.49,6,4,51.39,2014
85,,5-022,,170889.01,7368.6,7099,476,4.31,2014
110,,5-022,,281673.45,7056.3,11481,617,2.51,2014
120,,5-022,,6751.49,249.57,145,11,3.7,2014
122,,5-022,,117852.33,7766.25,2501,209,6.59,2014
123,,5-022,,36515.61,1573.28,815,37,4.31,2014
145,,5-022,,31390.11,15236.12,372,155,48.54,2014
160,,5-022,,122071.58,2419.74,2629,97,1.98,2014
164,,5-022,,95553.33,2711.31,1828,117,2.84,2014
165,,5-022,,207874.12,4956.58,6091,323,2.38,2014
166,,5-022,,89025.82,3745.38,7078,308,4.21,2014
167,,5-022,,607833.58,33714.82,12213,704,5.55,2014
168,,5-022,,52826.17,2342.32,646,29,4.43,2014
169,,5-022,,19560.88,13462.53,158,110,68.82,2014
170,,5-022,,11672.45,981.17,393,18,8.41,2014
171,,5-022,,3721.8,0.0,71,0,0.0,2014
172,,5-022,,164214.92,7884.38,2183,92,4.8,2014
173,,5-022,,141287.78,34427.63,1806,167,24.37,2014
7,,5-022,,26446.21,664.6,533,15,2.51,2016
8,,5-022,,576479.33,138928.09,6304,1326,24.1,2016
9,,5-022,,390357.64,13611.83,8531,886,3.49,2016
13,,5-022,,216852.1,22901.92,4213,509,10.56,2016
14,,5-022,,2329.19,665.22,51,11,28.56,2016
15,,5-022,,401184.91,14191.1,6199,484,3.54,2016
20,,5-022,,20219.3,1172.95,88,15,5.8,2016
21,,5-022,,333450.92,14418.28,5837,728,4.32,2016
22,,5-022,,134261.76,8765.97,9756,1094,6.53,2016
23,,5-022,,147678.01,12657.86,12973,1564,8.57,2016
24,,5-022,,245749.17,15736.95,9006,1636,6.4,2016
25,,5-022,,149043.53,9595.63,3930,388,6.44,2016
26,,5-022,,9855.47,929.03,219,90,9.43,2016
28,,5-022,,114265.27,4802.26,2136,159,4.2,2016
31,,5-022,,33767.24,1698.62,427,29,5.03,2016
38,,5-022,,157684.69,1320.72,216,43,0.84,2016
42,,5-022,,387832.23,63931.84,5440,728,16.48,2016
43,,5-022,,122788.72,13513.61,5732,941,11.01,2016
45,,5-022,,9337.23,1257.13,218,25,13.46,2016
47,,5-022,,209167.64,5676.04,7230,442,2.71,2016
48,,5-022,,12453.97,5897.05,261,116,47.35,2016
49,,5-022,,4057.04,0.0,57,0,0.0,2016
56,,5-022,,91162.56,3530.76,1790,123,3.87,2016
57,,5-022,,52123.97,23080.64,539,176,44.28,2016
61,,5-022,,19587.98,79.97,183,4,0.41,2016
63,,5-022,,64469.61,5729.1,2224,228,8.89,2016
65,,5-022,,61754.43,2959.8,1131,155,4.79,2016
67,,5-029,,949.58,174.15,8,2,18.34,2016
85,,5-022,,177522.81,4822.38,7108,465,2.72,2016
110,,5-022,,286138.62,7953.19,11421,685,2.78,2016
120,,5-022,,6637.5,639.53,157,21,9.64,2016
122,,5-022,,118904.97,5819.43,2452,187,4.89,2016
123,,5-022,,36610.01,3244.03,862,80,8.86,2016
145,,5-022,,32996.5,8012.56,354,87,24.28,2016
